Date,Close
2025-10-24 00:00:00-04:00,259.5673828125
2025-10-27 00:00:00-04:00,268.9046630859375
2025-10-28 00:00:00-04:00,267.1071472167969
2025-10-29 00:00:00-04:00,274.197509765625
2025-10-30 00:00:00-04:00,281.09814453125
2025-10-31 00:00:00-04:00,280.8085021972656
2025-11-03 00:00:00-05:00,283.3350830078125
2025-11-04 00:00:00-05:00,277.1634521484375
2025-11-05 00:00:00-05:00,283.92425537109375
2025-11-06 00:00:00-05:00,284.3636779785156
2025-11-07 00:00:00-05:00,278.45172119140625
2025-11-10 00:00:00-05:00,289.7064208984375
2025-11-11 00:00:00-05:00,290.914794921875
2025-11-12 00:00:00-05:00,286.3210144042969
2025-11-13 00:00:00-05:00,278.19207763671875
2025-11-14 00:00:00-05:00,276.0350036621094
2025-11-17 00:00:00-05:00,284.63330078125
2025-11-18 00:00:00-05:00,283.8943176269531
2025-11-19 00:00:00-05:00,292.4127502441406
2025-11-20 00:00:00-05:00,289.05731201171875
2025-11-21 00:00:00-05:00,299.25347900390625
2025-11-24 00:00:00-05:00,318.14776611328125
2025-11-25 00:00:00-05:00,323.0011901855469
2025-11-26 00:00:00-05:00,319.5159606933594
2025-11-28 00:00:00-05:00,319.7456359863281
2025-12-01 00:00:00-05:00,314.46282958984375
2025-12-02 00:00:00-05:00,315.38153076171875
2025-12-03 00:00:00-05:00,319.19635009765625
2025-12-04 00:00:00-05:00,317.1890869140625
2025-12-05 00:00:00-05:00,320.8341064453125
2025-12-08 00:00:00-05:00,313.49932861328125
2025-12-09 00:00:00-05:00,316.85693359375
2025-12-10 00:00:00-05:00,319.9847412109375
2025-12-11 00:00:00-05:00,312.210205078125
2025-12-12 00:00:00-05:00,309.07244873046875
2025-12-15 00:00:00-05:00,308.003173828125
2025-12-16 00:00:00-05:00,306.3543395996094
2025-12-17 00:00:00-05:00,296.5112609863281
2025-12-18 00:00:00-05:00,302.2472229003906
2025-12-19 00:00:00-05:00,306.9439392089844
2025-12-22 00:00:00-05:00,309.56207275390625
2025-12-23 00:00:00-05:00,314.1288757324219
2025-12-24 00:00:00-05:00,313.8690490722656
2025-12-26 00:00:00-05:00,313.2894592285156
2025-12-29 00:00:00-05:00,313.33941650390625
2025-12-30 00:00:00-05:00,313.6292419433594
2025-12-31 00:00:00-05:00,312.7798156738281
2026-01-02 00:00:00-05:00,314.9283142089844
2026-01-05 00:00:00-05:00,316.3173522949219
2026-01-06 00:00:00-05:00,314.1188659667969
2026-01-07 00:00:00-05:00,321.7535095214844
2026-01-08 00:00:00-05:00,325.2110595703125
2026-01-09 00:00:00-05:00,328.3388671875
2026-01-12 00:00:00-05:00,331.62652587890625
2026-01-13 00:00:00-05:00,335.7336730957031
2026-01-14 00:00:00-05:00,335.603759765625
2026-01-15 00:00:00-05:00,332.5458984375
2026-01-16 00:00:00-05:00,329.7678527832031
2026-01-20 00:00:00-05:00,321.77349853515625
2026-01-21 00:00:00-05:00,328.1490173339844
2026-01-22 00:00:00-05:00,330.3074951171875
2026-01-23 00:00:00-05:00,327.6993103027344
2026-01-26 00:00:00-05:00,333.02557373046875
2026-01-27 00:00:00-05:00,334.31463623046875
2026-01-28 00:00:00-05:00,335.7736511230469
2026-01-29 00:00:00-05:00,338.0120544433594
2026-01-30 00:00:00-05:00,337.7622375488281
2026-02-02 00:00:00-05:00,343.4482421875
2026-02-03 00:00:00-05:00,339.47100830078125
2026-02-04 00:00:00-05:00,332.80572509765625
2026-02-05 00:00:00-05:00,331.0169677734375
2026-02-06 00:00:00-05:00,322.63287353515625
2026-02-09 00:00:00-05:00,324.09185791015625
2026-02-10 00:00:00-05:00,318.3558654785156
2026-02-11 00:00:00-05:00,310.7412414550781
2026-02-12 00:00:00-05:00,308.7826232910156
2026-02-13 00:00:00-05:00,305.50494384765625
2026-02-17 00:00:00-05:00,301.8075256347656
2026-02-18 00:00:00-05:00,303.1166076660156
2026-02-19 00:00:00-05:00,302.636962890625
2026-02-20 00:00:00-05:00,314.7584228515625
2026-02-23 00:00:00-05:00,311.2708740234375
2026-02-24 00:00:00-05:00,310.6813049316406
2026-02-25 00:00:00-05:00,312.67987060546875
2026-02-26 00:00:00-05:00,307.1637878417969
2026-02-27 00:00:00-05:00,311.54071044921875
2026-03-02 00:00:00-05:00,306.3043518066406
2026-03-03 00:00:00-05:00,303.3664245605469
2026-03-04 00:00:00-05:00,302.9167785644531
2026-03-05 00:00:00-05:00,300.6683349609375
2026-03-06 00:00:00-05:00,298.30999755859375
2026-03-09 00:00:00-04:00,306.3599853515625
2026-03-10 00:00:00-04:00,307.0400085449219
2026-03-11 00:00:00-04:00,308.70001220703125
2026-03-12 00:00:00-04:00,303.54998779296875
2026-03-13 00:00:00-04:00,302.2799987792969
2026-03-16 00:00:00-04:00,305.55999755859375
2026-03-17 00:00:00-04:00,310.9200134277344
2026-03-18 00:00:00-04:00,307.69000244140625
2026-03-19 00:00:00-04:00,307.1300048828125
2026-03-20 00:00:00-04:00,301.0
2026-03-23 00:00:00-04:00,302.05999755859375
2026-03-24 00:00:00-04:00,290.44000244140625
2026-03-25 00:00:00-04:00,290.92999267578125
2026-03-26 00:00:00-04:00,280.9200134277344
2026-03-27 00:00:00-04:00,274.3399963378906
2026-03-30 00:00:00-04:00,273.5
2026-03-31 00:00:00-04:00,287.55999755859375
2026-04-01 00:00:00-04:00,297.3900146484375
2026-04-02 00:00:00-04:00,295.7699890136719
2026-04-06 00:00:00-04:00,299.989990234375
2026-04-07 00:00:00-04:00,305.4599914550781
2026-04-08 00:00:00-04:00,317.32000732421875
2026-04-09 00:00:00-04:00,318.489990234375
2026-04-10 00:00:00-04:00,317.239990234375
2026-04-13 00:00:00-04:00,321.30999755859375
2026-04-14 00:00:00-04:00,332.9100036621094
2026-04-15 00:00:00-04:00,337.1199951171875
2026-04-16 00:00:00-04:00,336.0199890136719
2026-04-17 00:00:00-04:00,341.67999267578125
2026-04-20 00:00:00-04:00,337.4200134277344
2026-04-21 00:00:00-04:00,332.2900085449219
2026-04-22 00:00:00-04:00,339.32000732421875
2026-04-23 00:00:00-04:00,338.8900146484375
2026-04-24 00:00:00-04:00,344.3999938964844
2026-04-27 00:00:00-04:00,350.3399963378906
2026-04-28 00:00:00-04:00,349.7799987792969
2026-04-29 00:00:00-04:00,349.94000244140625
2026-04-30 00:00:00-04:00,384.79998779296875
2026-05-01 00:00:00-04:00,385.69000244140625
2026-05-04 00:00:00-04:00,383.25
2026-05-05 00:00:00-04:00,388.42999267578125
2026-05-06 00:00:00-04:00,398.0400085449219
2026-05-07 00:00:00-04:00,397.989990234375
2026-05-08 00:00:00-04:00,400.79998779296875
